Song Name,Song Link,Artist,CD,holla,crunk
Let Me Blow Ya Mind,https://open.spotify.com/track/3RmKpob8xzv1pzHEQrMJah,"Eve, Gwen Stefani, Stevie J",False,False,False
Smooth Criminal,https://open.spotify.com/track/5z6xHjCZr7a7AIcy8sPBKy,Alien Ant Farm,False,False,False
Fallin',https://open.spotify.com/track/0KQx6HOpJueiSkztcS0r7D,Alicia Keys,False,False,False
Thank You,https://open.spotify.com/track/3yUcJwYu7fXAfqMj9krY6l,Dido,False,False,False
Your Body Is a Wonderland,https://open.spotify.com/track/7vFv0yFGMJW3qVXbAd9BK9,John Mayer,False,False,False
Butterfly,https://open.spotify.com/track/4BggEwLhGfrbrl7JBhC8EC,Crazy Town,False,False,False
U Remind Me,https://open.spotify.com/track/2QsZVnbWVSjKMXK6K3uRBL,USHER,False,False,False
Only Time,https://open.spotify.com/track/6FLwmdmW77N1Pxb1aWsZmO,Enya,False,False,False
Fat Lip,https://open.spotify.com/track/4KacUpvbA3Mfo05gttTjhN,Sum 41,False,False,False
Follow Me,https://open.spotify.com/track/4KoecuyOpZaNFZ0UqVsllc,Uncle Kracker,False,False,False
Youth of the Nation,https://open.spotify.com/track/0UrWr7Jnu1heq1o99ZwUd0,P.O.D.,False,False,False
Again,https://open.spotify.com/track/5c1QJAiC3773EwiZLwHf5x,Lenny Kravitz,False,False,False
Clint Eastwood,https://open.spotify.com/track/7yMiX7n9SBvadzox8T5jzT,Gorillaz,False,False,False
I'm a Slave 4 U,https://open.spotify.com/track/6ldwfK0yWgTAlmIfuQkTYN,Britney Spears,False,False,False
Hit 'Em Up Style (Oops!),https://open.spotify.com/track/4zYTZvtcww7OWKie7fxA9E,Blu Cantrell,False,False,False
Get Ur Freak On,https://open.spotify.com/track/6zsk6uF3MxfIeHPlubKBvR,Missy Elliott,False,True,False
You Rock My World,https://open.spotify.com/track/1Lhwn4PqeGpM4LTVUowW76,Michael Jackson,False,False,False
It's Been Awhile,https://open.spotify.com/track/25CMmGsl22APKhfuj4Tp7j,Staind,False,False,False
Sing,https://open.spotify.com/track/4yA2SM7XCLkSgkBUSoZb5S,Travis,False,False,False
Out Of Reach,https://open.spotify.com/track/0HKD13PLq2WicViBBhSrOl,GABRIELLE,False,False,False
Superman (It's Not Easy),https://open.spotify.com/track/3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,False,False,False
Differences,https://open.spotify.com/track/0Uyh92tLyb9JawG8lmWCzJ,Ginuwine,False,False,False
This I Promise You,https://open.spotify.com/track/46n2EGFnPC3tzWCN1Aqe26,*NSYNC,False,False,False
Hanging By A Moment,https://open.spotify.com/track/0wqOReZDnrefefEsrIGeR4,Lifehouse,False,False,False
Love Don't Cost a Thing,https://open.spotify.com/track/1fgvJXlcZ7uIddMpqsqw0L,Jennifer Lopez,False,False,False
Last Nite,https://open.spotify.com/track/3SUusuA9jH1v6PVwtYMbdv,The Strokes,False,False,False
Uptown Girl - Radio Edit,https://open.spotify.com/track/2sFp6E7lNBbblJGmUtCfFH,Westlife,False,False,False
Because I Got High,https://open.spotify.com/track/0rRboI6IRuGx56Dq3UdYY4,Afroman,False,False,False
Purple Pills,https://open.spotify.com/track/5IweeQZdY5XEzStLzUJG5t,D12,False,False,False
I'm Real (feat. Ja Rule) - Murder Remix,https://open.spotify.com/track/6MLsahMK3VvH9NUwXOktdS,"Jennifer Lopez, Ja Rule",False,True,False
Something,https://open.spotify.com/track/3e9L9HiHKcfYLAga28Vmcf,Lasgo,False,False,False
Where the Party At (feat. Nelly),https://open.spotify.com/track/5mNV8Mz59bzyuQ53gTw0c0,"Jagged Edge, Nelly",False,False,False
"Independent Women, Pt. 1",https://open.spotify.com/track/69XUpOpjzDKcfdxqZebGiI,Destiny's Child,False,False,False
Put It On Me,https://open.spotify.com/track/0OvwzS8FX73Bw7ykMRmffU,"Ja Rule, Vita",False,False,False
Little L,https://open.spotify.com/track/7hhclvecTpNxNNRCk7NUoc,Jamiroquai,False,False,False
In Your Eyes,https://open.spotify.com/track/1t5nwfsb90IliczIhOMnpJ,Kylie Minogue,False,False,False
If You're Gone,https://open.spotify.com/track/2f5N826udWfjT9iomeaBJt,Matchbox Twenty,False,False,False
Whole Again,https://open.spotify.com/track/16MJqq0vEuW6GRX6faetTm,Atomic Kitten,False,False,False
Bootylicious,https://open.spotify.com/track/41nT1Sp6ChR65FbsdLlFHW,Destiny's Child,False,False,False
All Rise,https://open.spotify.com/track/7jley98gCQFueQ5MCaFWIb,Blue,False,False,False
Peaches & Cream,https://open.spotify.com/track/2SLZ2rX5773RS16mcqBxG7,112,False,False,False
Jaded,https://open.spotify.com/track/6uhj7EIZZm3OwVr0gWfkQn,Aerosmith,False,False,False
All For You,https://open.spotify.com/track/5X8kkUaUlAyAUr9TYqDFTH,Janet Jackson,False,False,False
Touch Me (Radio Edit) [feat. Cassandra],https://open.spotify.com/track/6j8nh1kHwezw8pkC2eU87F,"Rui Da Silva, Cassandra",False,False,False
Never Had A Dream Come True,https://open.spotify.com/track/0fIG0HBRIjLRNDHAogtwSB,S Club,False,False,False
I'm a Thug,https://open.spotify.com/track/6j2aNuhJJUnRj6UHcvn5PI,Trick Daddy,False,False,False
Izzo (H.O.V.A.),https://open.spotify.com/track/4h5KBcltGefua73AUPYps7,JAY-Z,False,True,False
Fill Me In,https://open.spotify.com/track/0UzsDmdpw0Q14KU4hieQss,Craig David,False,False,False
Starlight - Radio Edit,https://open.spotify.com/track/4UfupbARPxljVkBmuZlJnY,"The Supermen Lovers, Mani Hoffman",False,False,False
It's Raining Men,https://open.spotify.com/track/7q3qX7Ees3FZtRFJXWgPZs,Geri Halliwell,False,False,False
Turn Off The Light,https://open.spotify.com/track/4gM2BugovNf4bvXdjZODzG,Nelly Furtado,False,False,False
Don't Stop Movin',https://open.spotify.com/track/4dzreTCcGVgeF1vCcd22AC,S Club,False,False,False
Livin' It Up,https://open.spotify.com/track/4ToZV7r72wSbVrljaLSp13,"Ja Rule, Case",False,False,False
Ain't It Funny,https://open.spotify.com/track/6J8vBmsokURohC3UygqYOH,Jennifer Lopez,False,False,False
If You Come Back,https://open.spotify.com/track/6nV2SYnWxCg0Cnmz1GSh2H,Blue,False,False,False
Missing You,https://open.spotify.com/track/0CmXXEwul09Kf8X68lPA5l,Case,False,False,False
Heard It All Before,https://open.spotify.com/track/0xikWgPgYN9BEes0ieZ8Co,Sunshine Anderson,False,False,False
Gone,https://open.spotify.com/track/4CCUjYJPbSXLL23BFeBVbI,*NSYNC,False,False,False
When It's Over - David Kahne Main,https://open.spotify.com/track/5ZsPy9wHH733NlU6c4v2Hi,Sugar Ray,False,False,False
Promise,https://open.spotify.com/track/1X1KDnhTnb28tpJlgOV3lD,Jagged Edge,False,False,False
Music (feat. Marvin Gaye),https://open.spotify.com/track/6IFOw9Ck9mWHRQgw6QrPYx,"Erick Sermon, Marvin Gaye",False,False,False
I'm Already There,https://open.spotify.com/track/34Vn9nKfztyLco9lJazy4j,Lonestar,False,False,False
Rise,https://open.spotify.com/track/63nkNgHkmfgjElTEnCzKYU,GABRIELLE,False,False,False
Until The End Of Time,https://open.spotify.com/track/5avQSAKB1dOEeIQBqV4jgW,"2Pac, R.L. Hugger, Samuel J. ""Tone"" Barnes",False,False,False
Queen of My Heart - Radio Edit,https://open.spotify.com/track/3LaOU1rxGZFPRC4I602Z3O,Westlife,False,False,False
Rapture (feat.Nadia Ali),https://open.spotify.com/track/0OSAJEA0ekX6pr2nuiPzX7,"iio, Nadia Ali",False,False,False
Have You Ever,https://open.spotify.com/track/4Xm0G6DRlWUjCgpKh5OPyv,S Club,False,False,False
Lovin' Each Day,https://open.spotify.com/track/61fUmn6wYvU7qS62wNvQFN,Ronan Keating,False,False,False
Love,https://open.spotify.com/track/6uSa5iCMwPr10Ftpz8w09b,Musiq Soulchild,False,False,False
It's Over Now,https://open.spotify.com/track/769geiA8btidGHda4BBDOJ,112,False,False,False
Heaven Is a Halfpipe (If I Die),https://open.spotify.com/track/1Sm3U3B5XoidYQEZQZrh3i,OPM,False,False,False
No More (Baby I'ma Do Right),https://open.spotify.com/track/5zn1hpm9N0ylKB7kOtpCw2,3LW,False,False,False
Stutter - Double Take Remix,https://open.spotify.com/track/7FWuzwapuKHTEyDJIcQOw3,"Joe, Mystikal, Allen Gordon",False,False,False
Play,https://open.spotify.com/track/7fFCnttacpotkyhTOxKv14,Jennifer Lopez,False,False,False
Eternal Flame - Single Version,https://open.spotify.com/track/3qzcM6SmbzBnGXSJe6hYdy,Atomic Kitten,False,False,False
Point of View - Radio Edit,https://open.spotify.com/track/1Jlt67b4oOhCoFW9GQwL9T,DB Boulevard,False,False,False
No More Drama,https://open.spotify.com/track/7nWsh14AHpnTzq1Xejz90U,Mary J. Blige,False,False,False
Romeo,https://open.spotify.com/track/4tI7eIbEUfInHS3sxfqkkr,Basement Jaxx,False,False,False
AM To PM,https://open.spotify.com/track/1PUNthIXityeZlnRLcP7JI,Christina Milian,False,False,False
One Minute Man (feat. Ludacris),https://open.spotify.com/track/0jG92AlXau21qgCQRxGLic,"Missy Elliott, Ludacris",False,False,False
