"","word","n","Year"
"393","lights",10,2000
"394","livin",10,2000
"395","mad",10,2000
"396","moves",10,2000
"397","pat",10,2000
"398","pop",10,2000
"399","ring",10,2000
"400","rise",10,2000
"401","shoes",10,2000
"402","song",10,2000
"403","soul",10,2000
"404","sound",10,2000
"405","spot",10,2000
"406","sunday",10,2000
"407","times",10,2000
"408","town",10,2000
"409","water",10,2000
"410","win",10,2000
"411","woah",10,2000
"412","6lack",9,2000
"413","aaliyah",9,2000
"414","adam",9,2000
"415","anymore",9,2000
"416","art",9,2000
"417","attention",9,2000
"418","bone",9,2000
"419","chains",9,2000
"420","cocoa",9,2000
"421","confess",9,2000
"422","cube",9,2000
"423","dad",9,2000
"424","dope",9,2000
"425","drop",9,2000
"426","green",9,2000
"427","heart's",9,2000
"428","hurt",9,2000
"429","i'ma",9,2000
"430","interlude",9,2000
"431","jigga",9,2000
"432","kids",9,2000
"433","line",9,2000
"434","lisa",9,2000
"435","living",9,2000
"436","means",9,2000
"437","mon",9,2000
"438","morning",9,2000
"439","past",9,2000
"440","pound",9,2000
"441","puff",9,2000
"442","range",9,2000
"443","rover",9,2000
"444","sight",9,2000
"445","single",9,2000
"446","sting",9,2000
"447","streets",9,2000
"448","surrender",9,2000
"449","thighs",9,2000
"450","tyler",9,2000
"451","wine",9,2000
"452","woman",9,2000
"453","2pac",8,2000
"454","4",8,2000
"455","acoustic",8,2000
"456","ah",8,2000
"457","ain’t",8,2000
"458","aj",8,2000
"459","ap",8,2000
"460","autism",8,2000
"461","awake",8,2000
"462","blind",8,2000
"463","brother",8,2000
"464","bunch",8,2000
"465","charron",8,2000
"466","cheese",8,2000
"467","chester",8,2000
"468","cocked",8,2000
"469","comin",8,2000
"470","coming",8,2000
"471","conor",8,2000
"472","creator",8,2000
"473","damn",8,2000
"474","delight",8,2000
"475","delonge",8,2000
"476","desire",8,2000
"477","doo",8,2000
"478","dreamville",8,2000
"479","easy",8,2000
"480","edit",8,2000
"481","empty",8,2000
"482","falling",8,2000
"483","finally",8,2000
"484","follow",8,2000
"485","forget",8,2000
"486","found",8,2000
"487","friday",8,2000
"488","gun",8,2000
"489","hole",8,2000
"490","hook",8,2000
"491","hopsin",8,2000
"492","husband",8,2000
"493","imitating",8,2000
"494","incomplete",8,2000
